Drug[UMLS_CUI];DrugTargets[EntrezGene];Disease[UMLS_CUI];DiseaseProteins[EntrezGene]
"[""C0025242"",""C0060135"",""C0002403"",""C0022614""]";[2902,2903,2904,2905,2906,116443,116444];"""C0002395""";[2,43,161,267,274,323,341,348,351,498,581,590,596,627,642,801,836,932,945,1139,1141,1191,1200,1378,1392,1471,1496,1565,1636,1657,1718,1808,1965,2023,2041,2099,2147,2185,2567,2932,3077,3162,3416,3479,3480,3481,3482,3553,3630,3635,3643,3952,4129,4137,4299,4321,4336,4353,4524,4535,4846,4852,5328,5468,5621,5649,5663,5664,5697,5819,6517,6648,6653,7018,7019,7124,7167,7422,7447,7782,8301,8738,8878,8913,9019,9325,9498,9705,9844,9846,10082,10347,10418,10452,10658,10659,10858,10979,22976,23026,23072,23215,23237,23385,23413,23607,23621,25902,26330,27115,27328,28969,29780,29949,51338,54205,54209,54498,54798,54828,55063,55351,55676,55691,56776,57091,57569,57687,60412,64231,64478,79660,79685,79722,79789,80320,84466,84888,114876,121601,123041,137682,154215,168667,196051,222255,338645,343641,344148,388325]
"[""C0045010"",""C0025147"",""C0033308"",""C0025175"",""C0028356"",""C0023566"",""C0057558"",""C0057916""]";5241;"""C0002453""";[1361,1586,1588,2488,5447,5617]
"""C0006230""";[146,148,150,1812,1813,1814,1815,3350,3352,3357];"""C0002453""";[1361,1586,1588,2488,5447,5617]
"[""C0023610"",""C0085272"",""C0064906"",""C0120107"",""C1455035"",""C0121902"",""C0965390"",""C0077275""]";2798;"""C0002453""";[1361,1586,1588,2488,5447,5617]
"[""C0009262"",""C0246415"",""C0042679"",""C0042670"",""C0078257"",""C0144576"",""C2830183""]";[7280,10381,10382,10383,81027,84617,203068,347688,347733];"""C0002726""";[43,348,351,5663,7276,54503]
"""C0011816""";[1135,1136,1137,1141,2903,6532,10280,116443];"""C0002736""";[283,288,959,1501,1610,1639,1804,2066,2521,2670,2936,2950,3178,3236,3680,3909,4744,4978,5216,5321,5444,5445,5446,5630,5648,5743,6311,6487,6506,6529,6647,6648,7074,7157,7415,8604,8821,8878,9181,9217,9331,9619,9764,9782,9896,10133,10242,10280,10562,10891,22920,23025,23435,23503,25978,27148,27242,29110,29978,51163,54209,56241,116984,132989,151194,201161,203228,347736,400916]
"[""C0073379"",""C0023660"",""C0079856"",""C0025887"",""C0085237"",""C0064636"",""C0069751"",""C0031379"",""C0213404"",""C0058831"",""C1608295"",""C0055443"",""C0033218"",""C0072510"",""C0039629"",""C0073571"",""C0025384"",""C0033124""]";[6323,6326,6328,6329,6331,6332,6334,6335,6336,11280];"""C0002736""";[283,288,959,1501,1610,1639,1804,2066,2521,2670,2936,2950,3178,3236,3680,3909,4744,4978,5216,5321,5444,5445,5446,5630,5648,5743,6311,6487,6506,6529,6647,6648,7074,7157,7415,8604,8821,8878,9181,9217,9331,9619,9764,9782,9896,10133,10242,10280,10562,10891,22920,23025,23435,23503,25978,27148,27242,29110,29978,51163,54209,56241,116984,132989,151194,201161,203228,347736,400916]
"[""C0027368"",""C0030072"",""C0016384"",""C0025826"",""C0029995"",""C0285590"",""C0068771""]";367;"""C0002871""";[142,183,538,1437,1440,2056,2936,3240,3440,3481,3558,3562,4524,5617,5741,5972,6648,7124,7298,8797,9474,10533,30061,51312,57817,113235,374569]
"[""C0023610"",""C0085272"",""C0064906"",""C0120107"",""C1455035"",""C0121902"",""C0965390"",""C0077275""]";2798;"""C0002871""";[142,183,538,1437,1440,2056,2936,3240,3440,3481,3558,3562,4524,5617,5741,5972,6648,7124,7298,8797,9474,10533,30061,51312,57817,113235,374569]
"""C0937950""";2057;"""C0002871""";[142,183,538,1437,1440,2056,2936,3240,3440,3481,3558,3562,4524,5617,5741,5972,6648,7124,7298,8797,9474,10533,30061,51312,57817,113235,374569]
