Drug[UMLS_CUI];DrugTargets[EntrezGene];Disease[UMLS_CUI];DiseaseProteins[EntrezGene]
"""C0006949""";[1135,1143,6323,6326,6328,6329,6331,6332,6334,6335,6336,6532,11280];"""C0014544""";[150,207,213,627,1106,1128,1129,1131,2081,2316,2348,2353,2354,2562,2670,2876,2903,2904,2911,3611,3756,3785,4208,4317,4852,4887,4985,4988,5025,5099,5243,5428,5443,5789,6323,6326,6334,6415,6505,6506,6507,6558,7248,7249,7296,7337,7416,7417,8404,8514,8831,10617,22953,23271,26047,26053,57282,57468,57526,79944,112755,116442,348980,375449]
"""C0076829""";[760,762,2554,2555,2556,2557,2558,2559,2560,2561,2562,2563,2564,2565,2566,2567,2568,2890,2891,2892,2893,2897,2898,2899,2900,2901,6323,6326,6328,6329,6331,6332,6334,6335,6336,11280,55879];"""C0014544""";[150,207,213,627,1106,1128,1129,1131,2081,2316,2348,2353,2354,2562,2670,2876,2903,2904,2911,3611,3756,3785,4208,4317,4852,4887,4985,4988,5025,5099,5243,5428,5443,5789,6323,6326,6334,6415,6505,6506,6507,6558,7248,7249,7296,7337,7416,7417,8404,8514,8831,10617,22953,23271,26047,26053,57282,57468,57526,79944,112755,116442,348980,375449]
"[""C0008188"",""C0009011"",""C0032910"",""C0012010"",""C0024002"",""C0039468"",""C1436328"",""C0040879"",""C0016375"",""C0014892""]";[2554,2555,2556,2558,2565,2566,2567];"""C0014544""";[150,207,213,627,1106,1128,1129,1131,2081,2316,2348,2353,2354,2562,2670,2876,2903,2904,2911,3611,3756,3785,4208,4317,4852,4887,4985,4988,5025,5099,5243,5428,5443,5789,6323,6326,6334,6415,6505,6506,6507,6558,7248,7249,7296,7337,7416,7417,8404,8514,8831,10617,22953,23271,26047,26053,57282,57468,57526,79944,112755,116442,348980,375449]
"[""C0073379"",""C0023660"",""C0079856"",""C0025887"",""C0085237"",""C0064636"",""C0069751"",""C0031379"",""C0213404"",""C0058831"",""C1608295"",""C0055443"",""C0033218"",""C0072510"",""C0039629"",""C0073571"",""C0025384"",""C0033124""]";[6323,6326,6328,6329,6331,6332,6334,6335,6336,11280];"""C0014544""";[150,207,213,627,1106,1128,1129,1131,2081,2316,2348,2353,2354,2562,2670,2876,2903,2904,2911,3611,3756,3785,4208,4317,4852,4887,4985,4988,5025,5099,5243,5428,5443,5789,6323,6326,6334,6415,6505,6506,6507,6558,7248,7249,7296,7337,7416,7417,8404,8514,8831,10617,22953,23271,26047,26053,57282,57468,57526,79944,112755,116442,348980,375449]
"[""C0060926"",""C0657912""]";781;"""C0014544""";[150,207,213,627,1106,1128,1129,1131,2081,2316,2348,2353,2354,2562,2670,2876,2903,2904,2911,3611,3756,3785,4208,4317,4852,4887,4985,4988,5025,5099,5243,5428,5443,5789,6323,6326,6334,6415,6505,6506,6507,6558,7248,7249,7296,7337,7416,7417,8404,8514,8831,10617,22953,23271,26047,26053,57282,57468,57526,79944,112755,116442,348980,375449]
"""C0033148""";[2560,2561,2562,6323,6326,6328,6329,6331,6332,6334,6335,6336,11280];"""C0014544""";[150,207,213,627,1106,1128,1129,1131,2081,2316,2348,2353,2354,2562,2670,2876,2903,2904,2911,3611,3756,3785,4208,4317,4852,4887,4985,4988,5025,5099,5243,5428,5443,5789,6323,6326,6334,6415,6505,6506,6507,6558,7248,7249,7296,7337,7416,7417,8404,8514,8831,10617,22953,23271,26047,26053,57282,57468,57526,79944,112755,116442,348980,375449]
"""C0042291""";[18,7915];"""C0014544""";[150,207,213,627,1106,1128,1129,1131,2081,2316,2348,2353,2354,2562,2670,2876,2903,2904,2911,3611,3756,3785,4208,4317,4852,4887,4985,4988,5025,5099,5243,5428,5443,5789,6323,6326,6334,6415,6505,6506,6507,6558,7248,7249,7296,7337,7416,7417,8404,8514,8831,10617,22953,23271,26047,26053,57282,57468,57526,79944,112755,116442,348980,375449]
"""C0000981""";[759,760,762,771];"""C0014544""";[150,207,213,627,1106,1128,1129,1131,2081,2316,2348,2353,2354,2562,2670,2876,2903,2904,2911,3611,3756,3785,4208,4317,4852,4887,4985,4988,5025,5099,5243,5428,5443,5789,6323,6326,6334,6415,6505,6506,6507,6558,7248,7249,7296,7337,7416,7417,8404,8514,8831,10617,22953,23271,26047,26053,57282,57468,57526,79944,112755,116442,348980,375449]
"""C0048044""";18;"""C0014544""";[150,207,213,627,1106,1128,1129,1131,2081,2316,2348,2353,2354,2562,2670,2876,2903,2904,2911,3611,3756,3785,4208,4317,4852,4887,4985,4988,5025,5099,5243,5428,5443,5789,6323,6326,6334,6415,6505,6506,6507,6558,7248,7249,7296,7337,7416,7417,8404,8514,8831,10617,22953,23271,26047,26053,57282,57468,57526,79944,112755,116442,348980,375449]
"[""C0025242"",""C0060135"",""C0002403"",""C0022614""]";[2902,2903,2904,2905,2906,116443,116444];"""C0014544""";[150,207,213,627,1106,1128,1129,1131,2081,2316,2348,2353,2354,2562,2670,2876,2903,2904,2911,3611,3756,3785,4208,4317,4852,4887,4985,4988,5025,5099,5243,5428,5443,5789,6323,6326,6334,6415,6505,6506,6507,6558,7248,7249,7296,7337,7416,7417,8404,8514,8831,10617,22953,23271,26047,26053,57282,57468,57526,79944,112755,116442,348980,375449]
"""C0377265""";[774,9900];"""C0014544""";[150,207,213,627,1106,1128,1129,1131,2081,2316,2348,2353,2354,2562,2670,2876,2903,2904,2911,3611,3756,3785,4208,4317,4852,4887,4985,4988,5025,5099,5243,5428,5443,5789,6323,6326,6334,6415,6505,6506,6507,6558,7248,7249,7296,7337,7416,7417,8404,8514,8831,10617,22953,23271,26047,26053,57282,57468,57526,79944,112755,116442,348980,375449]
"[""C0039736"",""C1144149""]";51185;"""C0014742""";10747
"""C0066677""";6531;"""C0014742""";10747
"[""C0073379"",""C0023660"",""C0079856"",""C0025887"",""C0085237"",""C0064636"",""C0069751"",""C0031379"",""C0213404"",""C0058831"",""C1608295"",""C0055443"",""C0033218"",""C0072510"",""C0039629"",""C0073571"",""C0025384"",""C0033124""]";[6323,6326,6328,6329,6331,6332,6334,6335,6336,11280];"[""C0014852"",""C0018834""]";7442
"[""C0028978"",""C0050940"",""C0937846"",""C0378482"",""C0081876"",""C2348248""]";495;"""C0014868""";[5222,6648,7442]
"""C0038633""";5222;"""C0014868""";[5222,6648,7442]
"[""C0015620"",""C0008783"",""C0034665"",""C0085154""]";3274;"""C0014869""";3576
"[""C0032950"",""C0020268"",""C0011777"",""C0040864"",""C0054201"",""C0025815"",""C0060501"",""C0010137"",""C0032952"",""C0004905"",""C0360564"",""C0907850"",""C1948374"",""C0058004"",""C0005308"",""C0016299"",""C0016298"",""C0071836"",""C0304612"",""C0011707"",""C0082787""]";2908;"""C0015230""";[712,3106,4598]
"[""C0033405"",""C0012522"",""C0008281"",""C0008929"",""C0052762"",""C0057606"",""C0057605"",""C0065180"",""C0055147"",""C0054672"",""C0908935"",""C0031408"",""C0296800"",""C0054340"",""C0013092"",""C0164386"",""C0025039"",""C0010547"",""C0020404"",""C0527189"",""C0022642"",""C2348241"",""C0003143"",""C0041090"",""C0066101"",""C0041031"",""C0085170"",""C0052759""]";3269;"""C0015230""";[712,3106,4598]
"[""C0073379"",""C0023660"",""C0079856"",""C0025887"",""C0085237"",""C0064636"",""C0069751"",""C0031379"",""C0213404"",""C0058831"",""C1608295"",""C0055443"",""C0033218"",""C0072510"",""C0039629"",""C0073571"",""C0025384"",""C0033124""]";[6323,6326,6328,6329,6331,6332,6334,6335,6336,11280];"""C0015230""";[712,3106,4598]
"""C0066677""";6531;"""C0015230""";[712,3106,4598]
"[""C0032950"",""C0020268"",""C0011777"",""C0040864"",""C0054201"",""C0025815"",""C0060501"",""C0010137"",""C0032952"",""C0004905"",""C0360564"",""C0907850"",""C1948374"",""C0058004"",""C0005308"",""C0016299"",""C0016298"",""C0071836"",""C0304612"",""C0011707"",""C0082787""]";2908;"""C0015397""";[5443,23322]
"[""C0004057"",""C0020740"",""C0027396"",""C0038792"",""C0021246"",""C0022635"",""C0031990"",""C0040377"",""C0016377"",""C0012091"",""C0069739"",""C0015837"",""C0012228"",""C0025152"",""C0038878"",""C0073631"",""C0961209"",""C0054094"",""C0030125""]";[5742,5743];"""C0015967""";[1392,1440,2488,3350,3356,3440,3458,3552,3553,3558,3569,3576,4598,4842,5443,5617,6648,7124,7132,121278,374569]
"""C0025659""";759;"""C0015967""";[1392,1440,2488,3350,3356,3440,3458,3552,3553,3558,3569,3576,4598,4842,5443,5617,6648,7124,7132,121278,374569]
"""C0013090""";[4312,4316,4317,4322];"""C0015967""";[1392,1440,2488,3350,3356,3440,3458,3552,3553,3558,3569,3576,4598,4842,5443,5617,6648,7124,7132,121278,374569]
"[""C0033405"",""C0012522"",""C0008281"",""C0008929"",""C0052762"",""C0057606"",""C0057605"",""C0065180"",""C0055147"",""C0054672"",""C0908935"",""C0031408"",""C0296800"",""C0054340"",""C0013092"",""C0164386"",""C0025039"",""C0010547"",""C0020404"",""C0527189"",""C0022642"",""C2348241"",""C0003143"",""C0041090"",""C0066101"",""C0041031"",""C0085170"",""C0052759""]";3269;"""C0015967""";[1392,1440,2488,3350,3356,3440,3458,3552,3553,3558,3569,3576,4598,4842,5443,5617,6648,7124,7132,121278,374569]
"[""C0033798"",""C0024778"",""C0018318"",""C0031447"",""C0076823""]";6530;"""C0015967""";[1392,1440,2488,3350,3356,3440,3458,3552,3553,3558,3569,3576,4598,4842,5443,5617,6648,7124,7132,121278,374569]
"""C0000970""";[1268,2166,5742,5743,7442];"""C0015967""";[1392,1440,2488,3350,3356,3440,3458,3552,3553,3558,3569,3576,4598,4842,5443,5617,6648,7124,7132,121278,374569]
"[""C0009262"",""C0246415"",""C0042679"",""C0042670"",""C0078257"",""C0144576"",""C2830183""]";[7280,10381,10382,10383,81027,84617,203068,347688,347733];"""C0015967""";[1392,1440,2488,3350,3356,3440,3458,3552,3553,3558,3569,3576,4598,4842,5443,5617,6648,7124,7132,121278,374569]
"[""C0059865"",""C0538927"",""C0083381"",""C0068334"",""C0913246"",""C0762662""]";5743;"""C0015967""";[1392,1440,2488,3350,3356,3440,3458,3552,3553,3558,3569,3576,4598,4842,5443,5617,6648,7124,7132,121278,374569]
"[""C2343921"",""C0058056"",""C0012306"",""C0012525"",""C0023992"",""C0057981"",""C0026549"",""C0025376"",""C0030049"",""C0015846"",""C0025605"",""C0040610"",""C0246631"",""C0143993"",""C0002026""]";4988;"""C0015967""";[1392,1440,2488,3350,3356,3440,3458,3552,3553,3558,3569,3576,4598,4842,5443,5617,6648,7124,7132,121278,374569]
"[""C0045010"",""C0025147"",""C0033308"",""C0025175"",""C0028356"",""C0023566"",""C0057558"",""C0057916""]";5241;"""C0016382""";[217,5020,5742,7432,338442]
"[""C0060926"",""C0657912""]";781;"""C0016382""";[217,5020,5742,7432,338442]
"[""C0009014"",""C0525227"",""C0048038"",""C0079466"",""C0025741"",""C0146011"",""C0113293""]";[150,151,152];"""C0016382""";[217,5020,5742,7432,338442]
"[""C0206460"",""C0019134"",""C0206461"",""C1098510"",""C0259507"",""C0216278""]";462;"""C0016382""";[217,5020,5742,7432,338442]
"[""C0014938"",""C0014942"",""C0244404""]";[2099,2100];"""C0016382""";[217,5020,5742,7432,338442]
"[""C0008845"",""C0016365"",""C0070122"",""C0074393"",""C0085228""]";6532;"""C0016382""";[217,5020,5742,7432,338442]
"[""C0039286"",""C0014912"",""C0015011"",""C0009008""]";2099;"""C0016382""";[217,5020,5742,7432,338442]
"[""C0078569"",""C0245561"",""C0028420"",""C0020934"",""C1533126""]";[6530,6532];"""C0016382""";[217,5020,5742,7432,338442]
"""C0028833""";[6751,6752,6753,6754,6755];"""C0016382""";[217,5020,5742,7432,338442]
"[""C0015620"",""C0008783"",""C0034665"",""C0085154""]";3274;"""C0017168""";[18,3576,5743,6863]
"[""C0017887"",""C0022252"",""C0064079"",""C0028128""]";2983;"""C0017168""";[18,3576,5743,6863]
"[""C0028978"",""C0050940"",""C0937846"",""C0378482"",""C0081876"",""C2348248""]";495;"""C0017168""";[18,3576,5743,6863]
"[""C0537147"",""C0072916""]";3360;"""C0017168""";[18,3576,5743,6863]
"""C0053526""";[1129,1131,1132];"""C0017168""";[18,3576,5743,6863]
"""C0025853""";[1813,3359,3360];"""C0017168""";[18,3576,5743,6863]
"[""C0004057"",""C0020740"",""C0027396"",""C0038792"",""C0021246"",""C0022635"",""C0031990"",""C0040377"",""C0016377"",""C0012091"",""C0069739"",""C0015837"",""C0012228"",""C0025152"",""C0038878"",""C0073631"",""C0961209"",""C0054094"",""C0030125""]";[5742,5743];"""C0017181""";[551,1437,4057]
"[""C1705480"",""C0011701""]";[552,553,554];"""C0017181""";[551,1437,4057]
"[""C0015620"",""C0008783"",""C0034665"",""C0085154""]";3274;"""C0017181""";[551,1437,4057]
"[""C0031469"",""C0032912"",""C0114873"",""C0076107"",""C0026078""]";[146,147,148];"""C0017601""";[1029,1030,1301,2762,4016,4638,5373,7042,8671,10587,23424,26610,51071,54715,55133,60312,120526,144100,196294,344148]
"[""C0009014"",""C0525227"",""C0048038"",""C0079466"",""C0025741"",""C0146011"",""C0113293""]";[150,151,152];"""C0017601""";[1029,1030,1301,2762,4016,4638,5373,7042,8671,10587,23424,26610,51071,54715,55133,60312,120526,144100,196294,344148]
"[""C0016967"",""C0527316"",""C0027679"",""C0022181"",""C0034261"",""C0360174""]";43;"""C0017601""";[1029,1030,1301,2762,4016,4638,5373,7042,8671,10587,23424,26610,51071,54715,55133,60312,120526,144100,196294,344148]
"[""C0053799"",""C0000946"",""C0025859"",""C0004147"",""C0005320""]";153;"""C0017601""";[1029,1030,1301,2762,4016,4638,5373,7042,8671,10587,23424,26610,51071,54715,55133,60312,120526,144100,196294,344148]
"[""C0027302"",""C0030812"",""C0040233"",""C0031937"",""C0116569"",""C0041030"",""C0012963"",""C0068475""]";[153,154];"""C0017601""";[1029,1030,1301,2762,4016,4638,5373,7042,8671,10587,23424,26610,51071,54715,55133,60312,120526,144100,196294,344148]
"[""C0033497"",""C0022245"",""C0006388"",""C0007299""]";[153,154,155];"""C0017601""";[1029,1030,1301,2762,4016,4638,5373,7042,8671,10587,23424,26610,51071,54715,55133,60312,120526,144100,196294,344148]
"[""C0031923"",""C0301374""]";[1128,1131];"""C0017601""";[1029,1030,1301,2762,4016,4638,5373,7042,8671,10587,23424,26610,51071,54715,55133,60312,120526,144100,196294,344148]
"[""C0673966"",""C0165590""]";760;"""C0017601""";[1029,1030,1301,2762,4016,4638,5373,7042,8671,10587,23424,26610,51071,54715,55133,60312,120526,144100,196294,344148]
"[""C0937916"",""C0937917"",""C0090306""]";5737;"""C0017601""";[1029,1030,1301,2762,4016,4638,5373,7042,8671,10587,23424,26610,51071,54715,55133,60312,120526,144100,196294,344148]
"[""C0022860"",""C0014563"",""C0058415"",""C0028351""]";[146,147,148,150,151,152,153,154,155];"""C0017601""";[1029,1030,1301,2762,4016,4638,5373,7042,8671,10587,23424,26610,51071,54715,55133,60312,120526,144100,196294,344148]
"""C0000981""";[759,760,762,771];"""C0017601""";[1029,1030,1301,2762,4016,4638,5373,7042,8671,10587,23424,26610,51071,54715,55133,60312,120526,144100,196294,344148]
"[""C0700580"",""C0006945"",""C0041190""]";1131;"""C0017601""";[1029,1030,1301,2762,4016,4638,5373,7042,8671,10587,23424,26610,51071,54715,55133,60312,120526,144100,196294,344148]
"""C0012086""";[759,760,762,766,768,771,11238];"""C0017601""";[1029,1030,1301,2762,4016,4638,5373,7042,8671,10587,23424,26610,51071,54715,55133,60312,120526,144100,196294,344148]
"[""C0031469"",""C0032912"",""C0114873"",""C0076107"",""C0026078""]";[146,147,148];"""C0017612""";[857,858,5743,54499]
"[""C0022860"",""C0014563"",""C0058415"",""C0028351""]";[146,147,148,150,151,152,153,154,155];"""C0017612""";[857,858,5743,54499]
"[""C0937916"",""C0937917"",""C0090306""]";5737;"""C0017612""";[857,858,5743,54499]
"[""C0053799"",""C0000946"",""C0025859"",""C0004147"",""C0005320""]";153;"""C0017612""";[857,858,5743,54499]
"[""C0009014"",""C0525227"",""C0048038"",""C0079466"",""C0025741"",""C0146011"",""C0113293""]";[150,151,152];"""C0017612""";[857,858,5743,54499]
"[""C0673966"",""C0165590""]";760;"""C0017612""";[857,858,5743,54499]
"[""C0027302"",""C0030812"",""C0040233"",""C0031937"",""C0116569"",""C0041030"",""C0012963"",""C0068475""]";[153,154];"""C0017612""";[857,858,5743,54499]
"""C0025631""";[759,760,762,766];"""C0017612""";[857,858,5743,54499]
"[""C0033497"",""C0022245"",""C0006388"",""C0007299""]";[153,154,155];"""C0017612""";[857,858,5743,54499]
"[""C0079691"",""C0546882""]";[7067,7068];"""C0018021""";[1184,5172,7038,7173]
"""C0025644""";7173;"""C0018021""";[1184,5172,7038,7173]
"""C0033511""";[1733,7173];"""C0018021""";[1184,5172,7038,7173]
"[""C0169964"",""C0143083""]";2690;"""C0018051""";2332
"[""C0004057"",""C0020740"",""C0027396"",""C0038792"",""C0021246"",""C0022635"",""C0031990"",""C0040377"",""C0016377"",""C0012091"",""C0069739"",""C0015837"",""C0012228"",""C0025152"",""C0038878"",""C0073631"",""C0961209"",""C0054094"",""C0030125""]";[5742,5743];"""C0018099""";[929,2263,2646,3553,4296,9429,22900,56606,126133,254263]
"[""C0032950"",""C0020268"",""C0011777"",""C0040864"",""C0054201"",""C0025815"",""C0060501"",""C0010137"",""C0032952"",""C0004905"",""C0360564"",""C0907850"",""C1948374"",""C0058004"",""C0005308"",""C0016299"",""C0016298"",""C0071836"",""C0304612"",""C0011707"",""C0082787""]";2908;"""C0018099""";[929,2263,2646,3553,4296,9429,22900,56606,126133,254263]
"""C0033209""";[9356,9376,55867];"""C0018099""";[929,2263,2646,3553,4296,9429,22900,56606,126133,254263]
"""C0038742""";116085;"""C0018099""";[929,2263,2646,3553,4296,9429,22900,56606,126133,254263]
"[""C0009262"",""C0246415"",""C0042679"",""C0042670"",""C0078257"",""C0144576"",""C2830183""]";[7280,10381,10382,10383,81027,84617,203068,347688,347733];"""C0018099""";[929,2263,2646,3553,4296,9429,22900,56606,126133,254263]
"[""C0002144"",""C0249529""]";7498;"""C0018099""";[929,2263,2646,3553,4296,9429,22900,56606,126133,254263]
"[""C0032950"",""C0020268"",""C0011777"",""C0040864"",""C0054201"",""C0025815"",""C0060501"",""C0010137"",""C0032952"",""C0004905"",""C0360564"",""C0907850"",""C1948374"",""C0058004"",""C0005308"",""C0016299"",""C0016298"",""C0071836"",""C0304612"",""C0011707"",""C0082787""]";2908;"""C0018133""";[1493,3458,3605,4524,7367]
"""C0010592""";[1723,2280,5478];"""C0018133""";[1493,3458,3605,4524,7367]
"[""C0072980"",""C0085149""]";2280;"""C0018133""";[1493,3458,3605,4524,7367]
"[""C0026933"",""C0039902""]";[3614,3615];"""C0018133""";[1493,3458,3605,4524,7367]
"[""C0039736"",""C1144149""]";51185;"""C0018133""";[1493,3458,3605,4524,7367]
"[""C0663182"",""C0676831""]";3559;"""C0018133""";[1493,3458,3605,4524,7367]
"""C0004482""";[3251,3614,3615,5471];"""C0018133""";[1493,3458,3605,4524,7367]
"""C0085379""";916;"""C0018133""";[1493,3458,3605,4524,7367]
"[""C0033405"",""C0012522"",""C0008281"",""C0008929"",""C0052762"",""C0057606"",""C0057605"",""C0065180"",""C0055147"",""C0054672"",""C0908935"",""C0031408"",""C0296800"",""C0054340"",""C0013092"",""C0164386"",""C0025039"",""C0010547"",""C0020404"",""C0527189"",""C0022642"",""C2348241"",""C0003143"",""C0041090"",""C0066101"",""C0041031"",""C0085170"",""C0052759""]";3269;"""C0018621""";[1469,4088,7096,7145,9173,10451,22806,23274,284110,286046]
"[""C0032950"",""C0020268"",""C0011777"",""C0040864"",""C0054201"",""C0025815"",""C0060501"",""C0010137"",""C0032952"",""C0004905"",""C0360564"",""C0907850"",""C1948374"",""C0058004"",""C0005308"",""C0016299"",""C0016298"",""C0071836"",""C0304612"",""C0011707"",""C0082787""]";2908;"""C0018621""";[1469,4088,7096,7145,9173,10451,22806,23274,284110,286046]
"[""C0022860"",""C0014563"",""C0058415"",""C0028351""]";[146,147,148,150,151,152,153,154,155];"""C0018621""";[1469,4088,7096,7145,9173,10451,22806,23274,284110,286046]
"[""C0031441"",""C0030071"",""C0027373"",""C0076286"",""C0031448""]";[146,147,148,150,151,152];"""C0018621""";[1469,4088,7096,7145,9173,10451,22806,23274,284110,286046]
"""C0010620""";[1132,1133,3269,3356,3357,3358];"""C0018621""";[1469,4088,7096,7145,9173,10451,22806,23274,284110,286046]
"[""C0033798"",""C0024778"",""C0018318"",""C0031447"",""C0076823""]";6530;"""C0018621""";[1469,4088,7096,7145,9173,10451,22806,23274,284110,286046]
"[""C0298130"",""C0378466""]";10800;"""C0018621""";[1469,4088,7096,7145,9173,10451,22806,23274,284110,286046]
"""C1174893""";[3269,5243];"""C0018621""";[1469,4088,7096,7145,9173,10451,22806,23274,284110,286046]
"[""C0004057"",""C0020740"",""C0027396"",""C0038792"",""C0021246"",""C0022635"",""C0031990"",""C0040377"",""C0016377"",""C0012091"",""C0069739"",""C0015837"",""C0012228"",""C0025152"",""C0038878"",""C0073631"",""C0961209"",""C0054094"",""C0030125""]";[5742,5743];"""C0018681""";[1440,2796,3440,3569,5020]
"[""C2343921"",""C0058056"",""C0012306"",""C0012525"",""C0023992"",""C0057981"",""C0026549"",""C0025376"",""C0030049"",""C0015846"",""C0025605"",""C0040610"",""C0246631"",""C0143993"",""C0002026""]";4988;"""C0018681""";[1440,2796,3440,3569,5020]
"""C0006644""";[134,135,136,140,3783,5142];"""C0018681""";[1440,2796,3440,3569,5020]
"[""C0033405"",""C0012522"",""C0008281"",""C0008929"",""C0052762"",""C0057606"",""C0057605"",""C0065180"",""C0055147"",""C0054672"",""C0908935"",""C0031408"",""C0296800"",""C0054340"",""C0013092"",""C0164386"",""C0025039"",""C0010547"",""C0020404"",""C0527189"",""C0022642"",""C2348241"",""C0003143"",""C0041090"",""C0066101"",""C0041031"",""C0085170"",""C0052759""]";3269;"""C0018681""";[1440,2796,3440,3569,5020]
"""C0012772""";217;"""C0018681""";[1440,2796,3440,3569,5020]
"""C0000970""";[1268,2166,5742,5743,7442];"""C0018681""";[1440,2796,3440,3569,5020]
"[""C0033497"",""C0022245"",""C0006388"",""C0007299""]";[153,154,155];"""C0018681""";[1440,2796,3440,3569,5020]
"[""C0754647"",""C0528166"",""C0075632"",""C0540623"",""C0297635""]";[3351,3352];"""C0018681""";[1440,2796,3440,3569,5020]
"[""C0008845"",""C0016365"",""C0070122"",""C0074393"",""C0085228""]";6532;"""C0018681""";[1440,2796,3440,3569,5020]
"""C0025386""";[2554,2555,2556,2557,2558,2559,2560,2561,2562];"""C0018681""";[1440,2796,3440,3569,5020]
"[""C0073379"",""C0023660"",""C0079856"",""C0025887"",""C0085237"",""C0064636"",""C0069751"",""C0031379"",""C0213404"",""C0058831"",""C1608295"",""C0055443"",""C0033218"",""C0072510"",""C0039629"",""C0073571"",""C0025384"",""C0033124""]";[6323,6326,6328,6329,6331,6332,6334,6335,6336,11280];"""C0018681""";[1440,2796,3440,3569,5020]
"[""C0914729"",""C0759933""]";[3351,3352,3355];"""C0018681""";[1440,2796,3440,3569,5020]
"""C0025842""";[3350,3357,3358];"""C0018681""";[1440,2796,3440,3569,5020]
"[""C0022860"",""C0014563"",""C0058415"",""C0028351""]";[146,147,148,150,151,152,153,154,155];"""C0018790""";[3458,3630,7124]
"[""C0004259"",""C0012125"",""C0005098"",""C0017970""]";[1128,1129,1131,1132,1133];"""C0018790""";[3458,3630,7124]
"""C0040373""";[146,147,148,150,151,152,3269,3274];"""C0018798""";[182,196,859,865,1827,1889,1906,1909,2138,2348,2767,2776,2812,3091,3198,3200,4524,4624,4851,4879,5243,5308,5460,6899,6910,7042,7353,7422,9314,9464,9839,10265,25836,27125,55315,55534,64220]
"""C0033429""";[153,154,6323,6326,6328,6329,6331,6332,6334,6335,6336,11280];"""C0018799""";[150,183,213,328,488,522,567,1244,1401,1440,1535,2056,2641,3032,3065,4363,4502,4689,4879,4968,5515,5683,5739,5880,5916,6341,6508,6696,6925,7054,7076,7137,7139,7422,7498,8841,8927,9294,23411,57104,126393,146862]
"[""C0039286"",""C0014912"",""C0015011"",""C0009008""]";2099;"""C0018799""";[150,183,213,328,488,522,567,1244,1401,1440,1535,2056,2641,3032,3065,4363,4502,4689,4879,4968,5515,5683,5739,5880,5916,6341,6508,6696,6925,7054,7076,7137,7139,7422,7498,8841,8927,9294,23411,57104,126393,146862]
"[""C0286651"",""C0965129"",""C0085542"",""C0074554"",""C0082608"",""C0024027""]";3156;"""C0018799""";[150,183,213,328,488,522,567,1244,1401,1440,1535,2056,2641,3032,3065,4363,4502,4689,4879,4968,5515,5683,5739,5880,5916,6341,6508,6696,6925,7054,7076,7137,7139,7422,7498,8841,8927,9294,23411,57104,126393,146862]
"[""C0017245"",""C0033228""]";5465;"""C0018799""";[150,183,213,328,488,522,567,1244,1401,1440,1535,2056,2641,3032,3065,4363,4502,4689,4879,4968,5515,5683,5739,5880,5916,6341,6508,6696,6925,7054,7076,7137,7139,7422,7498,8841,8927,9294,23411,57104,126393,146862]
"[""C0053799"",""C0000946"",""C0025859"",""C0004147"",""C0005320""]";153;"""C0018799""";[150,183,213,328,488,522,567,1244,1401,1440,1535,2056,2641,3032,3065,4363,4502,4689,4879,4968,5515,5683,5739,5880,5916,6341,6508,6696,6925,7054,7076,7137,7139,7422,7498,8841,8927,9294,23411,57104,126393,146862]
"[""C0033497"",""C0022245"",""C0006388"",""C0007299""]";[153,154,155];"""C0018799""";[150,183,213,328,488,522,567,1244,1401,1440,1535,2056,2641,3032,3065,4363,4502,4689,4879,4968,5515,5683,5739,5880,5916,6341,6508,6696,6925,7054,7076,7137,7139,7422,7498,8841,8927,9294,23411,57104,126393,146862]
"[""C0006938"",""C0014025"",""C0065374"",""C0118168"",""C0076891"",""C0066685"",""C0072857"",""C0136123"",""C0072973"",""C0053091""]";1636;"""C0018799""";[150,183,213,328,488,522,567,1244,1401,1440,1535,2056,2641,3032,3065,4363,4502,4689,4879,4968,5515,5683,5739,5880,5916,6341,6508,6696,6925,7054,7076,7137,7139,7422,7498,8841,8927,9294,23411,57104,126393,146862]
"[""C0027302"",""C0030812"",""C0040233"",""C0031937"",""C0116569"",""C0041030"",""C0012963"",""C0068475""]";[153,154];"""C0018799""";[150,183,213,328,488,522,567,1244,1401,1440,1535,2056,2641,3032,3065,4363,4502,4689,4879,4968,5515,5683,5739,5880,5916,6341,6508,6696,6925,7054,7076,7137,7139,7422,7498,8841,8927,9294,23411,57104,126393,146862]
"[""C0006938"",""C0014025"",""C0065374"",""C0118168"",""C0076891"",""C0066685"",""C0072857"",""C0136123"",""C0072973"",""C0053091""]";1636;"""C0018800""";[26,147,150,152,156,183,196,207,488,857,859,894,1375,1489,1543,1545,1571,1756,1906,2247,2621,2626,2932,3066,3091,3162,3270,3357,3479,3553,3606,3709,3976,4502,4607,4846,4878,4879,4881,5294,5337,5338,5443,5465,5467,5563,5578,5579,5972,6236,6464,6648,6714,6774,7124,7139,7220,7351,9495,9927,10539,10616,23523,51548,84676,93649]
"[""C0248719"",""C0386393"",""C0717550"",""C0216784"",""C0288171"",""C0287041"",""C0126174"",""C2698291""]";185;"""C0018800""";[26,147,150,152,156,183,196,207,488,857,859,894,1375,1489,1543,1545,1571,1756,1906,2247,2621,2626,2932,3066,3091,3162,3270,3357,3479,3553,3606,3709,3976,4502,4607,4846,4878,4879,4881,5294,5337,5338,5443,5465,5467,5563,5578,5579,5972,6236,6464,6648,6714,6774,7124,7139,7220,7351,9495,9927,10539,10616,23523,51548,84676,93649]
